text,number,input_seq,target,input_seq_padded
six thousand nine hundred and ninety four,6994,"[6, 1000, 9, 100, 0, 90, 4]",6994.0,"[6, 1000, 9, 100, 0, 90, 4]"
six thousand nine hundred and ninety five,6995,"[6, 1000, 9, 100, 0, 90, 5]",6995.0,"[6, 1000, 9, 100, 0, 90, 5]"
six thousand nine hundred and ninety six,6996,"[6, 1000, 9, 100, 0, 90, 6]",6996.0,"[6, 1000, 9, 100, 0, 90, 6]"
six thousand nine hundred and ninety seven,6997,"[6, 1000, 9, 100, 0, 90, 7]",6997.0,"[6, 1000, 9, 100, 0, 90, 7]"
six thousand nine hundred and ninety eight,6998,"[6, 1000, 9, 100, 0, 90, 8]",6998.0,"[6, 1000, 9, 100, 0, 90, 8]"
six thousand nine hundred and ninety nine,6999,"[6, 1000, 9, 100, 0, 90, 9]",6999.0,"[6, 1000, 9, 100, 0, 90, 9]"
seven thousand,7000,"[7, 1000]",7000.0,"[7, 1000, 0, 0, 0, 0, 0]"
seven thousand one,7001,"[7, 1000, 1]",7001.0,"[7, 1000, 1, 0, 0, 0, 0]"
seven thousand two,7002,"[7, 1000, 2]",7002.0,"[7, 1000, 2, 0, 0, 0, 0]"
seven thousand three,7003,"[7, 1000, 3]",7003.0,"[7, 1000, 3, 0, 0, 0, 0]"
seven thousand four,7004,"[7, 1000, 4]",7004.0,"[7, 1000, 4, 0, 0, 0, 0]"
seven thousand five,7005,"[7, 1000, 5]",7005.0,"[7, 1000, 5, 0, 0, 0, 0]"
seven thousand six,7006,"[7, 1000, 6]",7006.0,"[7, 1000, 6, 0, 0, 0, 0]"
seven thousand seven,7007,"[7, 1000, 7]",7007.0,"[7, 1000, 7, 0, 0, 0, 0]"
seven thousand eight,7008,"[7, 1000, 8]",7008.0,"[7, 1000, 8, 0, 0, 0, 0]"
seven thousand nine,7009,"[7, 1000, 9]",7009.0,"[7, 1000, 9, 0, 0, 0, 0]"
seven thousand ten,7010,"[7, 1000, 10]",7010.0,"[7, 1000, 10, 0, 0, 0, 0]"
seven thousand eleven,7011,"[7, 1000, 11]",7011.0,"[7, 1000, 11, 0, 0, 0, 0]"
seven thousand twelve,7012,"[7, 1000, 12]",7012.0,"[7, 1000, 12, 0, 0, 0, 0]"
seven thousand thirteen,7013,"[7, 1000, 13]",7013.0,"[7, 1000, 13, 0, 0, 0, 0]"
seven thousand fourteen,7014,"[7, 1000, 14]",7014.0,"[7, 1000, 14, 0, 0, 0, 0]"
seven thousand fifteen,7015,"[7, 1000, 15]",7015.0,"[7, 1000, 15, 0, 0, 0, 0]"
seven thousand sixteen,7016,"[7, 1000, 16]",7016.0,"[7, 1000, 16, 0, 0, 0, 0]"
seven thousand seventeen,7017,"[7, 1000, 17]",7017.0,"[7, 1000, 17, 0, 0, 0, 0]"
seven thousand eighteen,7018,"[7, 1000, 18]",7018.0,"[7, 1000, 18, 0, 0, 0, 0]"
seven thousand nineteen,7019,"[7, 1000, 19]",7019.0,"[7, 1000, 19, 0, 0, 0, 0]"
seven thousand twenty,7020,"[7, 1000, 20]",7020.0,"[7, 1000, 20, 0, 0, 0, 0]"
seven thousand twenty one,7021,"[7, 1000, 20, 1]",7021.0,"[7, 1000, 20, 1, 0, 0, 0]"
seven thousand twenty two,7022,"[7, 1000, 20, 2]",7022.0,"[7, 1000, 20, 2, 0, 0, 0]"
seven thousand twenty three,7023,"[7, 1000, 20, 3]",7023.0,"[7, 1000, 20, 3, 0, 0, 0]"
seven thousand twenty four,7024,"[7, 1000, 20, 4]",7024.0,"[7, 1000, 20, 4, 0, 0, 0]"
seven thousand twenty five,7025,"[7, 1000, 20, 5]",7025.0,"[7, 1000, 20, 5, 0, 0, 0]"
seven thousand twenty six,7026,"[7, 1000, 20, 6]",7026.0,"[7, 1000, 20, 6, 0, 0, 0]"
seven thousand twenty seven,7027,"[7, 1000, 20, 7]",7027.0,"[7, 1000, 20, 7, 0, 0, 0]"
seven thousand twenty eight,7028,"[7, 1000, 20, 8]",7028.0,"[7, 1000, 20, 8, 0, 0, 0]"
seven thousand twenty nine,7029,"[7, 1000, 20, 9]",7029.0,"[7, 1000, 20, 9, 0, 0, 0]"
seven thousand thirty,7030,"[7, 1000, 30]",7030.0,"[7, 1000, 30, 0, 0, 0, 0]"
seven thousand thirty one,7031,"[7, 1000, 30, 1]",7031.0,"[7, 1000, 30, 1, 0, 0, 0]"
seven thousand thirty two,7032,"[7, 1000, 30, 2]",7032.0,"[7, 1000, 30, 2, 0, 0, 0]"
seven thousand thirty three,7033,"[7, 1000, 30, 3]",7033.0,"[7, 1000, 30, 3, 0, 0, 0]"
seven thousand thirty four,7034,"[7, 1000, 30, 4]",7034.0,"[7, 1000, 30, 4, 0, 0, 0]"
seven thousand thirty five,7035,"[7, 1000, 30, 5]",7035.0,"[7, 1000, 30, 5, 0, 0, 0]"
seven thousand thirty six,7036,"[7, 1000, 30, 6]",7036.0,"[7, 1000, 30, 6, 0, 0, 0]"
seven thousand thirty seven,7037,"[7, 1000, 30, 7]",7037.0,"[7, 1000, 30, 7, 0, 0, 0]"
seven thousand thirty eight,7038,"[7, 1000, 30, 8]",7038.0,"[7, 1000, 30, 8, 0, 0, 0]"
seven thousand thirty nine,7039,"[7, 1000, 30, 9]",7039.0,"[7, 1000, 30, 9, 0, 0, 0]"
seven thousand forty,7040,"[7, 1000, 40]",7040.0,"[7, 1000, 40, 0, 0, 0, 0]"
seven thousand forty one,7041,"[7, 1000, 40, 1]",7041.0,"[7, 1000, 40, 1, 0, 0, 0]"
seven thousand forty two,7042,"[7, 1000, 40, 2]",7042.0,"[7, 1000, 40, 2, 0, 0, 0]"
seven thousand forty three,7043,"[7, 1000, 40, 3]",7043.0,"[7, 1000, 40, 3, 0, 0, 0]"
seven thousand forty four,7044,"[7, 1000, 40, 4]",7044.0,"[7, 1000, 40, 4, 0, 0, 0]"
seven thousand forty five,7045,"[7, 1000, 40, 5]",7045.0,"[7, 1000, 40, 5, 0, 0, 0]"
seven thousand forty six,7046,"[7, 1000, 40, 6]",7046.0,"[7, 1000, 40, 6, 0, 0, 0]"
seven thousand forty seven,7047,"[7, 1000, 40, 7]",7047.0,"[7, 1000, 40, 7, 0, 0, 0]"
seven thousand forty eight,7048,"[7, 1000, 40, 8]",7048.0,"[7, 1000, 40, 8, 0, 0, 0]"
seven thousand forty nine,7049,"[7, 1000, 40, 9]",7049.0,"[7, 1000, 40, 9, 0, 0, 0]"
seven thousand fifty,7050,"[7, 1000, 50]",7050.0,"[7, 1000, 50, 0, 0, 0, 0]"
seven thousand fifty one,7051,"[7, 1000, 50, 1]",7051.0,"[7, 1000, 50, 1, 0, 0, 0]"
seven thousand fifty two,7052,"[7, 1000, 50, 2]",7052.0,"[7, 1000, 50, 2, 0, 0, 0]"
seven thousand fifty three,7053,"[7, 1000, 50, 3]",7053.0,"[7, 1000, 50, 3, 0, 0, 0]"
seven thousand fifty four,7054,"[7, 1000, 50, 4]",7054.0,"[7, 1000, 50, 4, 0, 0, 0]"
seven thousand fifty five,7055,"[7, 1000, 50, 5]",7055.0,"[7, 1000, 50, 5, 0, 0, 0]"
seven thousand fifty six,7056,"[7, 1000, 50, 6]",7056.0,"[7, 1000, 50, 6, 0, 0, 0]"
seven thousand fifty seven,7057,"[7, 1000, 50, 7]",7057.0,"[7, 1000, 50, 7, 0, 0, 0]"
seven thousand fifty eight,7058,"[7, 1000, 50, 8]",7058.0,"[7, 1000, 50, 8, 0, 0, 0]"
seven thousand fifty nine,7059,"[7, 1000, 50, 9]",7059.0,"[7, 1000, 50, 9, 0, 0, 0]"
seven thousand sixty,7060,"[7, 1000, 60]",7060.0,"[7, 1000, 60, 0, 0, 0, 0]"
seven thousand sixty one,7061,"[7, 1000, 60, 1]",7061.0,"[7, 1000, 60, 1, 0, 0, 0]"
seven thousand sixty two,7062,"[7, 1000, 60, 2]",7062.0,"[7, 1000, 60, 2, 0, 0, 0]"
seven thousand sixty three,7063,"[7, 1000, 60, 3]",7063.0,"[7, 1000, 60, 3, 0, 0, 0]"
seven thousand sixty four,7064,"[7, 1000, 60, 4]",7064.0,"[7, 1000, 60, 4, 0, 0, 0]"
seven thousand sixty five,7065,"[7, 1000, 60, 5]",7065.0,"[7, 1000, 60, 5, 0, 0, 0]"
seven thousand sixty six,7066,"[7, 1000, 60, 6]",7066.0,"[7, 1000, 60, 6, 0, 0, 0]"
seven thousand sixty seven,7067,"[7, 1000, 60, 7]",7067.0,"[7, 1000, 60, 7, 0, 0, 0]"
seven thousand sixty eight,7068,"[7, 1000, 60, 8]",7068.0,"[7, 1000, 60, 8, 0, 0, 0]"
seven thousand sixty nine,7069,"[7, 1000, 60, 9]",7069.0,"[7, 1000, 60, 9, 0, 0, 0]"
seven thousand seventy,7070,"[7, 1000, 70]",7070.0,"[7, 1000, 70, 0, 0, 0, 0]"
seven thousand seventy one,7071,"[7, 1000, 70, 1]",7071.0,"[7, 1000, 70, 1, 0, 0, 0]"
seven thousand seventy two,7072,"[7, 1000, 70, 2]",7072.0,"[7, 1000, 70, 2, 0, 0, 0]"
seven thousand seventy three,7073,"[7, 1000, 70, 3]",7073.0,"[7, 1000, 70, 3, 0, 0, 0]"
seven thousand seventy four,7074,"[7, 1000, 70, 4]",7074.0,"[7, 1000, 70, 4, 0, 0, 0]"
seven thousand seventy five,7075,"[7, 1000, 70, 5]",7075.0,"[7, 1000, 70, 5, 0, 0, 0]"
seven thousand seventy six,7076,"[7, 1000, 70, 6]",7076.0,"[7, 1000, 70, 6, 0, 0, 0]"
seven thousand seventy seven,7077,"[7, 1000, 70, 7]",7077.0,"[7, 1000, 70, 7, 0, 0, 0]"
seven thousand seventy eight,7078,"[7, 1000, 70, 8]",7078.0,"[7, 1000, 70, 8, 0, 0, 0]"
seven thousand seventy nine,7079,"[7, 1000, 70, 9]",7079.0,"[7, 1000, 70, 9, 0, 0, 0]"
seven thousand eighty,7080,"[7, 1000, 80]",7080.0,"[7, 1000, 80, 0, 0, 0, 0]"
seven thousand eighty one,7081,"[7, 1000, 80, 1]",7081.0,"[7, 1000, 80, 1, 0, 0, 0]"
seven thousand eighty two,7082,"[7, 1000, 80, 2]",7082.0,"[7, 1000, 80, 2, 0, 0, 0]"
seven thousand eighty three,7083,"[7, 1000, 80, 3]",7083.0,"[7, 1000, 80, 3, 0, 0, 0]"
seven thousand eighty four,7084,"[7, 1000, 80, 4]",7084.0,"[7, 1000, 80, 4, 0, 0, 0]"
seven thousand eighty five,7085,"[7, 1000, 80, 5]",7085.0,"[7, 1000, 80, 5, 0, 0, 0]"
seven thousand eighty six,7086,"[7, 1000, 80, 6]",7086.0,"[7, 1000, 80, 6, 0, 0, 0]"
seven thousand eighty seven,7087,"[7, 1000, 80, 7]",7087.0,"[7, 1000, 80, 7, 0, 0, 0]"
seven thousand eighty eight,7088,"[7, 1000, 80, 8]",7088.0,"[7, 1000, 80, 8, 0, 0, 0]"
seven thousand eighty nine,7089,"[7, 1000, 80, 9]",7089.0,"[7, 1000, 80, 9, 0, 0, 0]"
seven thousand ninety,7090,"[7, 1000, 90]",7090.0,"[7, 1000, 90, 0, 0, 0, 0]"
seven thousand ninety one,7091,"[7, 1000, 90, 1]",7091.0,"[7, 1000, 90, 1, 0, 0, 0]"
seven thousand ninety two,7092,"[7, 1000, 90, 2]",7092.0,"[7, 1000, 90, 2, 0, 0, 0]"
seven thousand ninety three,7093,"[7, 1000, 90, 3]",7093.0,"[7, 1000, 90, 3, 0, 0, 0]"
seven thousand ninety four,7094,"[7, 1000, 90, 4]",7094.0,"[7, 1000, 90, 4, 0, 0, 0]"
seven thousand ninety five,7095,"[7, 1000, 90, 5]",7095.0,"[7, 1000, 90, 5, 0, 0, 0]"
seven thousand ninety six,7096,"[7, 1000, 90, 6]",7096.0,"[7, 1000, 90, 6, 0, 0, 0]"
seven thousand ninety seven,7097,"[7, 1000, 90, 7]",7097.0,"[7, 1000, 90, 7, 0, 0, 0]"
seven thousand ninety eight,7098,"[7, 1000, 90, 8]",7098.0,"[7, 1000, 90, 8, 0, 0, 0]"
seven thousand ninety nine,7099,"[7, 1000, 90, 9]",7099.0,"[7, 1000, 90, 9, 0, 0, 0]"
seven thousand one hundred and,7100,"[7, 1000, 1, 100, 0]",7100.0,"[7, 1000, 1, 100, 0, 0, 0]"
seven thousand one hundred and one,7101,"[7, 1000, 1, 100, 0, 1]",7101.0,"[7, 1000, 1, 100, 0, 1, 0]"
seven thousand one hundred and two,7102,"[7, 1000, 1, 100, 0, 2]",7102.0,"[7, 1000, 1, 100, 0, 2, 0]"
seven thousand one hundred and three,7103,"[7, 1000, 1, 100, 0, 3]",7103.0,"[7, 1000, 1, 100, 0, 3, 0]"
seven thousand one hundred and four,7104,"[7, 1000, 1, 100, 0, 4]",7104.0,"[7, 1000, 1, 100, 0, 4, 0]"
seven thousand one hundred and five,7105,"[7, 1000, 1, 100, 0, 5]",7105.0,"[7, 1000, 1, 100, 0, 5, 0]"
seven thousand one hundred and six,7106,"[7, 1000, 1, 100, 0, 6]",7106.0,"[7, 1000, 1, 100, 0, 6, 0]"
seven thousand one hundred and seven,7107,"[7, 1000, 1, 100, 0, 7]",7107.0,"[7, 1000, 1, 100, 0, 7, 0]"
seven thousand one hundred and eight,7108,"[7, 1000, 1, 100, 0, 8]",7108.0,"[7, 1000, 1, 100, 0, 8, 0]"
seven thousand one hundred and nine,7109,"[7, 1000, 1, 100, 0, 9]",7109.0,"[7, 1000, 1, 100, 0, 9, 0]"
seven thousand one hundred and ten,7110,"[7, 1000, 1, 100, 0, 10]",7110.0,"[7, 1000, 1, 100, 0, 10, 0]"
seven thousand one hundred and eleven,7111,"[7, 1000, 1, 100, 0, 11]",7111.0,"[7, 1000, 1, 100, 0, 11, 0]"
seven thousand one hundred and twelve,7112,"[7, 1000, 1, 100, 0, 12]",7112.0,"[7, 1000, 1, 100, 0, 12, 0]"
seven thousand one hundred and thirteen,7113,"[7, 1000, 1, 100, 0, 13]",7113.0,"[7, 1000, 1, 100, 0, 13, 0]"
seven thousand one hundred and fourteen,7114,"[7, 1000, 1, 100, 0, 14]",7114.0,"[7, 1000, 1, 100, 0, 14, 0]"
seven thousand one hundred and fifteen,7115,"[7, 1000, 1, 100, 0, 15]",7115.0,"[7, 1000, 1, 100, 0, 15, 0]"
seven thousand one hundred and sixteen,7116,"[7, 1000, 1, 100, 0, 16]",7116.0,"[7, 1000, 1, 100, 0, 16, 0]"
seven thousand one hundred and seventeen,7117,"[7, 1000, 1, 100, 0, 17]",7117.0,"[7, 1000, 1, 100, 0, 17, 0]"
seven thousand one hundred and eighteen,7118,"[7, 1000, 1, 100, 0, 18]",7118.0,"[7, 1000, 1, 100, 0, 18, 0]"
seven thousand one hundred and nineteen,7119,"[7, 1000, 1, 100, 0, 19]",7119.0,"[7, 1000, 1, 100, 0, 19, 0]"
seven thousand one hundred and twenty,7120,"[7, 1000, 1, 100, 0, 20]",7120.0,"[7, 1000, 1, 100, 0, 20, 0]"
seven thousand one hundred and twenty one,7121,"[7, 1000, 1, 100, 0, 20, 1]",7121.0,"[7, 1000, 1, 100, 0, 20, 1]"
seven thousand one hundred and twenty two,7122,"[7, 1000, 1, 100, 0, 20, 2]",7122.0,"[7, 1000, 1, 100, 0, 20, 2]"
seven thousand one hundred and twenty three,7123,"[7, 1000, 1, 100, 0, 20, 3]",7123.0,"[7, 1000, 1, 100, 0, 20, 3]"
seven thousand one hundred and twenty four,7124,"[7, 1000, 1, 100, 0, 20, 4]",7124.0,"[7, 1000, 1, 100, 0, 20, 4]"
seven thousand one hundred and twenty five,7125,"[7, 1000, 1, 100, 0, 20, 5]",7125.0,"[7, 1000, 1, 100, 0, 20, 5]"
seven thousand one hundred and twenty six,7126,"[7, 1000, 1, 100, 0, 20, 6]",7126.0,"[7, 1000, 1, 100, 0, 20, 6]"
seven thousand one hundred and twenty seven,7127,"[7, 1000, 1, 100, 0, 20, 7]",7127.0,"[7, 1000, 1, 100, 0, 20, 7]"
seven thousand one hundred and twenty eight,7128,"[7, 1000, 1, 100, 0, 20, 8]",7128.0,"[7, 1000, 1, 100, 0, 20, 8]"
seven thousand one hundred and twenty nine,7129,"[7, 1000, 1, 100, 0, 20, 9]",7129.0,"[7, 1000, 1, 100, 0, 20, 9]"
seven thousand one hundred and thirty,7130,"[7, 1000, 1, 100, 0, 30]",7130.0,"[7, 1000, 1, 100, 0, 30, 0]"
seven thousand one hundred and thirty one,7131,"[7, 1000, 1, 100, 0, 30, 1]",7131.0,"[7, 1000, 1, 100, 0, 30, 1]"
seven thousand one hundred and thirty two,7132,"[7, 1000, 1, 100, 0, 30, 2]",7132.0,"[7, 1000, 1, 100, 0, 30, 2]"
seven thousand one hundred and thirty three,7133,"[7, 1000, 1, 100, 0, 30, 3]",7133.0,"[7, 1000, 1, 100, 0, 30, 3]"
seven thousand one hundred and thirty four,7134,"[7, 1000, 1, 100, 0, 30, 4]",7134.0,"[7, 1000, 1, 100, 0, 30, 4]"
seven thousand one hundred and thirty five,7135,"[7, 1000, 1, 100, 0, 30, 5]",7135.0,"[7, 1000, 1, 100, 0, 30, 5]"
seven thousand one hundred and thirty six,7136,"[7, 1000, 1, 100, 0, 30, 6]",7136.0,"[7, 1000, 1, 100, 0, 30, 6]"
seven thousand one hundred and thirty seven,7137,"[7, 1000, 1, 100, 0, 30, 7]",7137.0,"[7, 1000, 1, 100, 0, 30, 7]"
seven thousand one hundred and thirty eight,7138,"[7, 1000, 1, 100, 0, 30, 8]",7138.0,"[7, 1000, 1, 100, 0, 30, 8]"
seven thousand one hundred and thirty nine,7139,"[7, 1000, 1, 100, 0, 30, 9]",7139.0,"[7, 1000, 1, 100, 0, 30, 9]"
seven thousand one hundred and forty,7140,"[7, 1000, 1, 100, 0, 40]",7140.0,"[7, 1000, 1, 100, 0, 40, 0]"
seven thousand one hundred and forty one,7141,"[7, 1000, 1, 100, 0, 40, 1]",7141.0,"[7, 1000, 1, 100, 0, 40, 1]"
seven thousand one hundred and forty two,7142,"[7, 1000, 1, 100, 0, 40, 2]",7142.0,"[7, 1000, 1, 100, 0, 40, 2]"
seven thousand one hundred and forty three,7143,"[7, 1000, 1, 100, 0, 40, 3]",7143.0,"[7, 1000, 1, 100, 0, 40, 3]"
seven thousand one hundred and forty four,7144,"[7, 1000, 1, 100, 0, 40, 4]",7144.0,"[7, 1000, 1, 100, 0, 40, 4]"
seven thousand one hundred and forty five,7145,"[7, 1000, 1, 100, 0, 40, 5]",7145.0,"[7, 1000, 1, 100, 0, 40, 5]"
seven thousand one hundred and forty six,7146,"[7, 1000, 1, 100, 0, 40, 6]",7146.0,"[7, 1000, 1, 100, 0, 40, 6]"
seven thousand one hundred and forty seven,7147,"[7, 1000, 1, 100, 0, 40, 7]",7147.0,"[7, 1000, 1, 100, 0, 40, 7]"
seven thousand one hundred and forty eight,7148,"[7, 1000, 1, 100, 0, 40, 8]",7148.0,"[7, 1000, 1, 100, 0, 40, 8]"
seven thousand one hundred and forty nine,7149,"[7, 1000, 1, 100, 0, 40, 9]",7149.0,"[7, 1000, 1, 100, 0, 40, 9]"
seven thousand one hundred and fifty,7150,"[7, 1000, 1, 100, 0, 50]",7150.0,"[7, 1000, 1, 100, 0, 50, 0]"
seven thousand one hundred and fifty one,7151,"[7, 1000, 1, 100, 0, 50, 1]",7151.0,"[7, 1000, 1, 100, 0, 50, 1]"
seven thousand one hundred and fifty two,7152,"[7, 1000, 1, 100, 0, 50, 2]",7152.0,"[7, 1000, 1, 100, 0, 50, 2]"
seven thousand one hundred and fifty three,7153,"[7, 1000, 1, 100, 0, 50, 3]",7153.0,"[7, 1000, 1, 100, 0, 50, 3]"
seven thousand one hundred and fifty four,7154,"[7, 1000, 1, 100, 0, 50, 4]",7154.0,"[7, 1000, 1, 100, 0, 50, 4]"
seven thousand one hundred and fifty five,7155,"[7, 1000, 1, 100, 0, 50, 5]",7155.0,"[7, 1000, 1, 100, 0, 50, 5]"
seven thousand one hundred and fifty six,7156,"[7, 1000, 1, 100, 0, 50, 6]",7156.0,"[7, 1000, 1, 100, 0, 50, 6]"
seven thousand one hundred and fifty seven,7157,"[7, 1000, 1, 100, 0, 50, 7]",7157.0,"[7, 1000, 1, 100, 0, 50, 7]"
seven thousand one hundred and fifty eight,7158,"[7, 1000, 1, 100, 0, 50, 8]",7158.0,"[7, 1000, 1, 100, 0, 50, 8]"
seven thousand one hundred and fifty nine,7159,"[7, 1000, 1, 100, 0, 50, 9]",7159.0,"[7, 1000, 1, 100, 0, 50, 9]"
seven thousand one hundred and sixty,7160,"[7, 1000, 1, 100, 0, 60]",7160.0,"[7, 1000, 1, 100, 0, 60, 0]"
seven thousand one hundred and sixty one,7161,"[7, 1000, 1, 100, 0, 60, 1]",7161.0,"[7, 1000, 1, 100, 0, 60, 1]"
seven thousand one hundred and sixty two,7162,"[7, 1000, 1, 100, 0, 60, 2]",7162.0,"[7, 1000, 1, 100, 0, 60, 2]"
seven thousand one hundred and sixty three,7163,"[7, 1000, 1, 100, 0, 60, 3]",7163.0,"[7, 1000, 1, 100, 0, 60, 3]"
seven thousand one hundred and sixty four,7164,"[7, 1000, 1, 100, 0, 60, 4]",7164.0,"[7, 1000, 1, 100, 0, 60, 4]"
seven thousand one hundred and sixty five,7165,"[7, 1000, 1, 100, 0, 60, 5]",7165.0,"[7, 1000, 1, 100, 0, 60, 5]"
seven thousand one hundred and sixty six,7166,"[7, 1000, 1, 100, 0, 60, 6]",7166.0,"[7, 1000, 1, 100, 0, 60, 6]"
seven thousand one hundred and sixty seven,7167,"[7, 1000, 1, 100, 0, 60, 7]",7167.0,"[7, 1000, 1, 100, 0, 60, 7]"
seven thousand one hundred and sixty eight,7168,"[7, 1000, 1, 100, 0, 60, 8]",7168.0,"[7, 1000, 1, 100, 0, 60, 8]"
seven thousand one hundred and sixty nine,7169,"[7, 1000, 1, 100, 0, 60, 9]",7169.0,"[7, 1000, 1, 100, 0, 60, 9]"
seven thousand one hundred and seventy,7170,"[7, 1000, 1, 100, 0, 70]",7170.0,"[7, 1000, 1, 100, 0, 70, 0]"
seven thousand one hundred and seventy one,7171,"[7, 1000, 1, 100, 0, 70, 1]",7171.0,"[7, 1000, 1, 100, 0, 70, 1]"
seven thousand one hundred and seventy two,7172,"[7, 1000, 1, 100, 0, 70, 2]",7172.0,"[7, 1000, 1, 100, 0, 70, 2]"
seven thousand one hundred and seventy three,7173,"[7, 1000, 1, 100, 0, 70, 3]",7173.0,"[7, 1000, 1, 100, 0, 70, 3]"
seven thousand one hundred and seventy four,7174,"[7, 1000, 1, 100, 0, 70, 4]",7174.0,"[7, 1000, 1, 100, 0, 70, 4]"
seven thousand one hundred and seventy five,7175,"[7, 1000, 1, 100, 0, 70, 5]",7175.0,"[7, 1000, 1, 100, 0, 70, 5]"
seven thousand one hundred and seventy six,7176,"[7, 1000, 1, 100, 0, 70, 6]",7176.0,"[7, 1000, 1, 100, 0, 70, 6]"
seven thousand one hundred and seventy seven,7177,"[7, 1000, 1, 100, 0, 70, 7]",7177.0,"[7, 1000, 1, 100, 0, 70, 7]"
seven thousand one hundred and seventy eight,7178,"[7, 1000, 1, 100, 0, 70, 8]",7178.0,"[7, 1000, 1, 100, 0, 70, 8]"
seven thousand one hundred and seventy nine,7179,"[7, 1000, 1, 100, 0, 70, 9]",7179.0,"[7, 1000, 1, 100, 0, 70, 9]"
seven thousand one hundred and eighty,7180,"[7, 1000, 1, 100, 0, 80]",7180.0,"[7, 1000, 1, 100, 0, 80, 0]"
seven thousand one hundred and eighty one,7181,"[7, 1000, 1, 100, 0, 80, 1]",7181.0,"[7, 1000, 1, 100, 0, 80, 1]"
seven thousand one hundred and eighty two,7182,"[7, 1000, 1, 100, 0, 80, 2]",7182.0,"[7, 1000, 1, 100, 0, 80, 2]"
seven thousand one hundred and eighty three,7183,"[7, 1000, 1, 100, 0, 80, 3]",7183.0,"[7, 1000, 1, 100, 0, 80, 3]"
seven thousand one hundred and eighty four,7184,"[7, 1000, 1, 100, 0, 80, 4]",7184.0,"[7, 1000, 1, 100, 0, 80, 4]"
seven thousand one hundred and eighty five,7185,"[7, 1000, 1, 100, 0, 80, 5]",7185.0,"[7, 1000, 1, 100, 0, 80, 5]"
seven thousand one hundred and eighty six,7186,"[7, 1000, 1, 100, 0, 80, 6]",7186.0,"[7, 1000, 1, 100, 0, 80, 6]"
seven thousand one hundred and eighty seven,7187,"[7, 1000, 1, 100, 0, 80, 7]",7187.0,"[7, 1000, 1, 100, 0, 80, 7]"
seven thousand one hundred and eighty eight,7188,"[7, 1000, 1, 100, 0, 80, 8]",7188.0,"[7, 1000, 1, 100, 0, 80, 8]"
seven thousand one hundred and eighty nine,7189,"[7, 1000, 1, 100, 0, 80, 9]",7189.0,"[7, 1000, 1, 100, 0, 80, 9]"
seven thousand one hundred and ninety,7190,"[7, 1000, 1, 100, 0, 90]",7190.0,"[7, 1000, 1, 100, 0, 90, 0]"
seven thousand one hundred and ninety one,7191,"[7, 1000, 1, 100, 0, 90, 1]",7191.0,"[7, 1000, 1, 100, 0, 90, 1]"
seven thousand one hundred and ninety two,7192,"[7, 1000, 1, 100, 0, 90, 2]",7192.0,"[7, 1000, 1, 100, 0, 90, 2]"
seven thousand one hundred and ninety three,7193,"[7, 1000, 1, 100, 0, 90, 3]",7193.0,"[7, 1000, 1, 100, 0, 90, 3]"
seven thousand one hundred and ninety four,7194,"[7, 1000, 1, 100, 0, 90, 4]",7194.0,"[7, 1000, 1, 100, 0, 90, 4]"
seven thousand one hundred and ninety five,7195,"[7, 1000, 1, 100, 0, 90, 5]",7195.0,"[7, 1000, 1, 100, 0, 90, 5]"
seven thousand one hundred and ninety six,7196,"[7, 1000, 1, 100, 0, 90, 6]",7196.0,"[7, 1000, 1, 100, 0, 90, 6]"
seven thousand one hundred and ninety seven,7197,"[7, 1000, 1, 100, 0, 90, 7]",7197.0,"[7, 1000, 1, 100, 0, 90, 7]"
seven thousand one hundred and ninety eight,7198,"[7, 1000, 1, 100, 0, 90, 8]",7198.0,"[7, 1000, 1, 100, 0, 90, 8]"
seven thousand one hundred and ninety nine,7199,"[7, 1000, 1, 100, 0, 90, 9]",7199.0,"[7, 1000, 1, 100, 0, 90, 9]"
seven thousand two hundred and,7200,"[7, 1000, 2, 100, 0]",7200.0,"[7, 1000, 2, 100, 0, 0, 0]"
seven thousand two hundred and one,7201,"[7, 1000, 2, 100, 0, 1]",7201.0,"[7, 1000, 2, 100, 0, 1, 0]"
seven thousand two hundred and two,7202,"[7, 1000, 2, 100, 0, 2]",7202.0,"[7, 1000, 2, 100, 0, 2, 0]"
seven thousand two hundred and three,7203,"[7, 1000, 2, 100, 0, 3]",7203.0,"[7, 1000, 2, 100, 0, 3, 0]"
seven thousand two hundred and four,7204,"[7, 1000, 2, 100, 0, 4]",7204.0,"[7, 1000, 2, 100, 0, 4, 0]"
seven thousand two hundred and five,7205,"[7, 1000, 2, 100, 0, 5]",7205.0,"[7, 1000, 2, 100, 0, 5, 0]"
seven thousand two hundred and six,7206,"[7, 1000, 2, 100, 0, 6]",7206.0,"[7, 1000, 2, 100, 0, 6, 0]"
seven thousand two hundred and seven,7207,"[7, 1000, 2, 100, 0, 7]",7207.0,"[7, 1000, 2, 100, 0, 7, 0]"
seven thousand two hundred and eight,7208,"[7, 1000, 2, 100, 0, 8]",7208.0,"[7, 1000, 2, 100, 0, 8, 0]"
seven thousand two hundred and nine,7209,"[7, 1000, 2, 100, 0, 9]",7209.0,"[7, 1000, 2, 100, 0, 9, 0]"
seven thousand two hundred and ten,7210,"[7, 1000, 2, 100, 0, 10]",7210.0,"[7, 1000, 2, 100, 0, 10, 0]"
